级别	日期和时间	来源	事件 ID	任务类别
警告	2018/11/21 0:11:08	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:11:07	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:11:05	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:11:04	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:11:02	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:11:00	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:11:00	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:11:00	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:59	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:59	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:58	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:58	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:58	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:55	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:55	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:46	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:40	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:40	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:35	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:35	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:30	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:26	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:12	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:10:11	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:55	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:55	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:54	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:54	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:53	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:51	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:51	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:49	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:49	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:47	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:47	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:47	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:45	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:44	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:44	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:40	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:40	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:40	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:21	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:19	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:08	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:08	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:05	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:09:00	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
错误	2018/11/21 0:08:59	Microsoft-Windows-DistributedCOM	10016	无	"应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19)授予针对 CLSID 为 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
、APPID 为 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
警告	2018/11/21 0:08:58	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:58	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:55	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:55	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:49	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:48	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:48	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:48	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:47	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:47	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:46	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:46	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:44	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:44	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:39	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:39	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:37	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:30	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:28	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:26	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:22	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:17	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:08:11	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:07:54	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:07:52	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:07:47	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
错误	2018/11/21 0:07:42	Service Control Manager	7034	无	服务 Intel® SGX AESM 意外停止。这发生了 1 次。
警告	2018/11/21 0:07:37	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:07:36	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
错误	2018/11/21 0:07:35	Microsoft-Windows-DistributedCOM	10016	无	"应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 NT AUTHORITY\SYSTEM SID (S-1-5-18)授予针对 CLSID 为 
Windows.SecurityCenter.WscDataProtection
、APPID 为 
不可用
 的 COM 服务器应用程序的 本地 启动 权限。此安全权限可以使用组件服务管理工具进行修改。"
错误	2018/11/21 0:07:35	Microsoft-Windows-DistributedCOM	10016	无	"应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 NT AUTHORITY\SYSTEM SID (S-1-5-18)授予针对 CLSID 为 
Windows.SecurityCenter.WscBrokerManager
、APPID 为 
不可用
 的 COM 服务器应用程序的 本地 启动 权限。此安全权限可以使用组件服务管理工具进行修改。"
警告	2018/11/21 0:07:34	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:07:34	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:07:33	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:07:26	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/21 0:07:24	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
