级别	日期和时间	来源	事件 ID	任务类别
信息	2018/11/29 22:10:07	Microsoft-Windows-Kernel-General	16	无	已经清除配置单元 \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat 中的访问历史记录，更新 0 个项并创建 0 个已修改的页面。
信息	2018/11/29 22:05:07	Service Control Manager	7040	无	Background Intelligent Transfer Service 服务的启动类型从 自动启动 更改为 按需启动。
信息	2018/11/29 22:03:02	Service Control Manager	7040	无	Background Intelligent Transfer Service 服务的启动类型从 按需启动 更改为 自动启动。
错误	2018/11/29 22:03:02	Microsoft-Windows-DistributedCOM	10016	无	"应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19)授予针对 CLSID 为 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
、APPID 为 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
错误	2018/11/29 22:00:45	Microsoft-Windows-DistributedCOM	10016	无	"应用程序-特定 权限设置并未向在应用程序容器 Microsoft.Windows.ContentDeliveryManager_10.0.17134.1_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-350187224-1905355452-1037786396-3028148496-2624191407-3283318427-1255436723)中运行的地址 LocalHost (使用 LRPC) 中的用户 DESKTOP-NSOMGCA\Administrator SID (S-1-5-21-2722894958-2044559392-3717969139-500)授予针对 CLSID 为 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
、APPID 为 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
 的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
错误	2018/11/29 22:00:44	Microsoft-Windows-DistributedCOM	10016	无	"应用程序-特定 权限设置并未向在应用程序容器 Microsoft.Windows.ContentDeliveryManager_10.0.17134.1_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-350187224-1905355452-1037786396-3028148496-2624191407-3283318427-1255436723)中运行的地址 LocalHost (使用 LRPC) 中的用户 DESKTOP-NSOMGCA\Administrator SID (S-1-5-21-2722894958-2044559392-3717969139-500)授予针对 CLSID 为 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
、APPID 为 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
 的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
错误	2018/11/29 22:00:43	Microsoft-Windows-DistributedCOM	10016	无	"应用程序-特定 权限设置并未向在应用程序容器 Microsoft.Windows.ContentDeliveryManager_10.0.17134.1_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-350187224-1905355452-1037786396-3028148496-2624191407-3283318427-1255436723)中运行的地址 LocalHost (使用 LRPC) 中的用户 DESKTOP-NSOMGCA\Administrator SID (S-1-5-21-2722894958-2044559392-3717969139-500)授予针对 CLSID 为 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
、APPID 为 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
 的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
信息	2018/11/29 22:00:13	Service Control Manager	7040	无	Windows Modules Installer 服务的启动类型从 自动启动 更改为 按需启动。
信息	2018/11/29 22:00:13	Service Control Manager	7040	无	Windows Modules Installer 服务的启动类型从 按需启动 更改为 自动启动。
错误	2018/11/29 22:00:04	Microsoft-Windows-DistributedCOM	10016	无	"应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19)授予针对 CLSID 为 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
、APPID 为 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
信息	2018/11/29 22:00:04	Microsoft-Windows-Power-Troubleshooter	1	无	"系统已从低功耗状态中恢复。

睡眠时间:  ‎2018‎-‎11‎-‎28T15:44:30.289027100Z
唤醒时间: ‎2018‎-‎11‎-‎29T14:00:02.507542500Z

唤醒源: 未知"
信息	2018/11/29 22:00:04	Microsoft-Windows-Winlogon	7001	(1101)	客户体验改善计划的用户登录通知
信息	2018/11/29 22:00:02	Microsoft-Windows-Kernel-Boot	27	(33)	引导类型为 0x1。
信息	2018/11/29 22:00:02	Microsoft-Windows-Kernel-Boot	25	(32)	引导菜单策略为 0x1。
信息	2018/11/29 22:00:02	Microsoft-Windows-Kernel-Boot	32	(58)	bootmgr 花费了 0 毫秒等待用户输入。
信息	2018/11/29 22:00:02	Microsoft-Windows-Kernel-Boot	18	(57)	此系统有 0x1 个引导选项。
信息	2018/11/29 22:00:02	Microsoft-Windows-Kernel-Boot	30	(21)	固件报告了启动指标。
信息	2018/11/29 22:00:02	Microsoft-Windows-Kernel-Power	105	(100)	电源更改。
信息	2018/11/29 22:00:01	Microsoft-Windows-Kernel-General	1	(5)	"系统时间已从 ‎2018‎-‎11‎-‎28T15:44:34.124645000Z 更改为 ‎2018‎-‎11‎-‎29T14:00:01.500000000Z。

更改原因: System time synchronized with the hardware clock。"
